#	snr = 15db, deltaF1 = 0, deltaF2 = 0, length = 60 bytes
#	time			In-phase		Quad-phase
   1.0875000e-05   1.0583693e+02  -3.0226331e+01
   1.0937500e-05   8.2826432e+01   3.7946562e+01
   1.1000000e-05   1.1317835e+02  -9.0000000e+00
   1.1062500e-05   7.0450920e+01   5.2164339e+01
   1.1125000e-05   5.2268253e+01   5.8557454e+01
   1.1187500e-05   8.4344115e+01   5.7903936e+01
   1.1250000e-05   7.0645080e+01   1.1403526e+02
   1.1312500e-05   6.4598081e+01   9.3097820e+01
   1.1375000e-05   3.3904155e+01   7.2556051e+01
   1.1437500e-05   3.9232761e+01   1.1371566e+02
   1.1500000e-05  -2.9898690e+01   9.2840881e+01
   1.1562500e-05  -2.5496239e+01   8.8767789e+01
   1.1625000e-05  -5.1518510e+01   8.4352750e+01
   1.1687500e-05  -5.4959158e+01   7.0715558e+01
   1.1750000e-05  -8.1716801e+01   4.9388692e+01
   1.1812500e-05  -7.0287989e+01   5.8165251e+01
   1.1875000e-05  -8.9344584e+01   6.0579094e+01
   1.1937500e-05  -7.9750872e+01   6.4457933e+01
   1.2000000e-05  -4.6945375e+01   5.6189567e+01
   1.2062500e-05  -4.9827559e+01   1.3677733e+02
   1.2125000e-05  -1.0000000e+00   1.1691648e+02
   1.2187500e-05   8.0000000e+00   1.0335078e+02
   1.2250000e-05   3.7223418e+01   1.0776991e+02
   1.2312500e-05   8.0708615e+01   1.0013580e+02
   1.2375000e-05   4.9385419e+01   8.3613954e+01
   1.2437500e-05  -8.0000000e+00   1.0758383e+02
   1.2500000e-05  -1.7908801e+01   9.4114940e+01
   1.2562500e-05  -1.3000000e+01   1.1884305e+02
   1.2625000e-05  -5.5416709e+01   8.3360446e+01
   1.2687500e-05  -5.4381445e+01   8.1906325e+01
   1.2750000e-05  -7.5703251e+01   5.7742200e+01
   1.2812500e-05  -1.0358451e+02   6.3998288e+01
   1.2875000e-05  -9.0482886e+01   5.4509266e+01
   1.2937500e-05  -8.5657667e+01   1.1358173e+02
   1.3000000e-05  -1.8587668e+01   8.6453823e+01
   1.3062500e-05  -4.5569697e+01   8.2119673e+01
   1.3125000e-05  -5.0000000e+00   1.3228883e+02
   1.3187500e-05   3.2132118e+01   1.2000122e+02
   1.3250000e-05   8.0000000e+00   8.6989500e+01
   1.3312500e-05   3.8269245e+01   5.3101868e+01
   1.3375000e-05   3.6277508e+01   1.0042120e+02
   1.3437500e-05   4.8953460e+01   6.5489070e+01
   1.3500000e-05   2.0631682e+01   8.8105723e+01
   1.3562500e-05  -6.3192934e+01   1.1099844e+02
   1.3625000e-05  -7.0000000e+00   1.0986979e+02
   1.3687500e-05  -6.5163694e+01   1.1063005e+02
   1.3750000e-05  -5.8213485e+01   9.4674667e+01
   1.3812500e-05  -7.4296691e+01   6.3932106e+01
   1.3875000e-05  -7.4413304e+01   4.3139636e+01
   1.3937500e-05  -1.0700475e+02   2.1264559e+01
   1.4000000e-05  -7.3068866e+01   9.0000000e+00
   1.4062500e-05  -1.1922950e+02  -2.3645419e+01
   1.4125000e-05  -7.5201481e+01  -1.5242680e+01
   1.4187500e-05  -8.1849087e+01  -6.0726441e+01
   1.4250000e-05  -9.8638992e+01  -9.4787489e+01
   1.4312500e-05  -6.0759894e+01  -1.0027036e+02
   1.4375000e-05  -5.2340340e+01  -1.0431524e+02
   1.4437500e-05  -3.9702838e+01  -8.6711623e+01
   1.4500000e-05  -4.0988460e+01  -8.6410073e+01
   1.4562500e-05   2.2243073e+01  -1.3293472e+02
   1.4625000e-05  -7.0000000e+00  -9.9749275e+01
   1.4687500e-05   5.6488106e+01  -7.5762410e+01
   1.4750000e-05   7.9011889e+01  -6.9454681e+01
   1.4812500e-05   7.1398693e+01  -6.8922561e+01
   1.4875000e-05   4.2065423e+01  -7.3099944e+01
   1.4937500e-05   4.3916150e+01  -7.3592128e+01
   1.5000000e-05   6.0000000e+00  -1.0603144e+02
   1.5062500e-05   3.5776964e+01  -1.0115079e+02
   1.5125000e-05  -2.8392086e+01  -9.1444168e+01
   1.5187500e-05  -2.6931439e+01  -1.0661622e+02
   1.5250000e-05  -2.5901610e+01  -6.5518458e+01
   1.5312500e-05  -6.3756144e+01  -6.6064480e+01
   1.5375000e-05  -9.4443924e+01  -5.1434882e+01
   1.5437500e-05  -8.8577620e+01  -3.7468673e+01
   1.5500000e-05  -9.8550188e+01  -2.8895710e+01
   1.5562500e-05  -1.1256133e+02  -1.2000000e+01
   1.5625000e-05  -9.1855673e+01  -8.0000000e+00
   1.5687500e-05  -8.9498798e+01   5.0597498e+01
   1.5750000e-05  -7.8441160e+01   5.2296125e+01
   1.5812500e-05  -6.7514518e+01   5.5916209e+01
   1.5875000e-05  -1.0381855e+02   4.4103333e+01
   1.5937500e-05  -9.9531309e+01   2.5889028e+01
   1.6000000e-05  -7.1970622e+01   2.7228027e+01
   1.6062500e-05  -9.6032799e+01   3.7077179e+01
   1.6125000e-05  -8.9082986e+01  -4.3859497e+01
   1.6187500e-05  -4.1695139e+01  -4.9765633e+01
   1.6250000e-05  -7.8506639e+01  -7.7957092e+01
   1.6312500e-05  -8.3471575e+01  -7.8468023e+01
   1.6375000e-05  -3.7339528e+01  -7.3363752e+01
   1.6437500e-05  -5.3864697e+01  -8.0320525e+01
   1.6500000e-05  -6.0000000e+00  -1.0790487e+02
   1.6562500e-05   1.6364732e+01  -9.5055387e+01
   1.6625000e-05   1.4052137e+01  -1.0911159e+02
   1.6687500e-05   1.5750458e+01  -8.1161412e+01
   1.6750000e-05   4.9102962e+01  -8.1553859e+01
   1.6812500e-05   4.3664864e+01  -6.9351280e+01
   1.6875000e-05   4.3881109e+01  -7.1789015e+01
   1.6937500e-05   2.8592363e+01  -7.3520382e+01
   1.7000000e-05  -9.0000000e+00  -8.5155452e+01
   1.7062500e-05   6.0000000e+00  -7.6308658e+01
   1.7125000e-05  -1.8297815e+01  -8.0084026e+01
   1.7187500e-05  -5.7640551e+01  -6.4241325e+01
   1.7250000e-05  -6.7200728e+01  -9.9453746e+01
   1.7312500e-05  -5.5186744e+01  -4.9131817e+01
   1.7375000e-05  -3.9604801e+01  -7.4548595e+01
   1.7437500e-05  -3.9193437e+01  -8.6785494e+01
   1.7500000e-05   1.0000000e+00  -8.2136824e+01
   1.7562500e-05  -1.3197752e+01  -6.3494862e+01
   1.7625000e-05   1.1000000e+01  -7.0673110e+01
   1.7687500e-05   1.8286992e+01  -8.0302660e+01
   1.7750000e-05   4.5325001e+01  -7.3331425e+01
   1.7812500e-05   5.9683193e+01  -8.2798257e+01
   1.7875000e-05   4.8555326e+01  -6.1598066e+01
   1.7937500e-05   8.8767392e+01  -5.0301946e+01
   1.8000000e-05   7.4266796e+01  -3.6867342e+01
   1.8062500e-05   9.9388449e+01  -1.4749948e+01
   1.8125000e-05   8.2831368e+01   0.0000000e+00
   1.8187500e-05   7.4074959e+01   3.4700781e+01
   1.8250000e-05   4.8280032e+01   4.8744970e+01
   1.8312500e-05   6.2908625e+01   5.0528502e+01
   1.8375000e-05   7.7019434e+01   2.8545545e+01
   1.8437500e-05   7.2476549e+01   2.5624149e+01
   1.8500000e-05   8.1811118e+01   1.9608329e+01
   1.8562500e-05   6.9557541e+01   9.0000000e+00
   1.8625000e-05   5.8028047e+01  -1.8826578e+01
   1.8687500e-05   4.6759837e+01  -4.8780045e+01
   1.8750000e-05   6.2315997e+01  -4.7446245e+01
   1.8812500e-05   5.2880040e+01  -6.0941003e+01
   1.8875000e-05   3.0267587e+01  -7.4838263e+01
   1.8937500e-05   2.1853139e+01  -8.7554633e+01
   1.9000000e-05   5.0000000e+00  -9.1319085e+01
   1.9062500e-05   1.7140234e+01  -8.9941255e+01
   1.9125000e-05  -2.4875699e+01  -8.0625638e+01
   1.9187500e-05  -2.2377588e+01  -8.7372627e+01
   1.9250000e-05  -6.2443250e+01  -5.5098417e+01
   1.9312500e-05  -4.8874846e+01  -4.6944486e+01
   1.9375000e-05  -7.1683707e+01  -6.9553608e+01
   1.9437500e-05  -2.7002882e+01  -6.8042766e+01
   1.9500000e-05  -3.5882986e+01  -9.0912202e+01
   1.9562500e-05  -4.2741312e+01  -6.2704888e+01
   1.9625000e-05  -7.0000000e+00  -6.4344588e+01
   1.9687500e-05   5.0000000e+00  -6.8585580e+01
   1.9750000e-05   4.6794066e+01  -6.4273606e+01
   1.9812500e-05   3.9934107e+01  -8.8467713e+01
   1.9875000e-05   5.9472468e+01  -4.2186417e+01
   1.9937500e-05   7.7269234e+01  -4.2436688e+01
   2.0000000e-05   5.7872243e+01  -4.3355592e+01
   2.0062500e-05   8.0719670e+01   1.0000000e+00
   2.0125000e-05   6.2130998e+01   6.0000000e+00
   2.0187500e-05   5.9168482e+01   1.9523540e+01
   2.0250000e-05   1.0050453e+02   2.9216657e+01
   2.0312500e-05   7.5749570e+01   5.3530550e+01
   2.0375000e-05   4.7360997e+01   2.4474637e+01
   2.0437500e-05   3.9372933e+01   6.7437067e+01
   2.0500000e-05   2.4271264e+01   5.5985699e+01
   2.0562500e-05   1.6650909e+01   7.3619477e+01
   2.0625000e-05  -8.0000000e+00   1.0129353e+02
   2.0687500e-05  -1.4060753e+01   8.4539195e+01
   2.0750000e-05  -2.5648651e+01   5.6968220e+01
   2.0812500e-05  -4.0458530e+01   5.8404424e+01
   2.0875000e-05  -2.9181188e+01   7.9758028e+01
   2.0937500e-05   2.0000000e+00   8.1164176e+01
   2.1000000e-05   0.0000000e+00   7.1608949e+01
   2.1062500e-05   1.6730550e+01   8.3627395e+01
   2.1125000e-05   3.0177815e+01   5.0717373e+01
   2.1187500e-05   4.5735410e+01   6.9651305e+01
   2.1250000e-05   5.9285934e+01   2.7481941e+01
   2.1312500e-05   5.1726752e+01   4.8094421e+01
   2.1375000e-05   5.1896228e+01   1.4200591e+01
   2.1437500e-05   7.0686624e+01   3.5197257e+01
   2.1500000e-05   7.0866204e+01   9.0000000e+00
   2.1562500e-05   5.0447587e+01  -1.5976611e+01
