Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P10        2x6_header,_right_angle       4365mil       2605mil       4365mil       2605mil       4615mil       2655mil  T        180.00 2 x 6 header   
C116       0402                  5005mil       1365mil       5005mil       1365mil   5024.685mil       1365mil  T        180.00 100pF          
C117       0402                  4930mil       1485mil       4930mil       1485mil   4949.685mil       1485mil  T        180.00 0.01uF         
C118       0402                  5030mil       1505mil       5030mil       1505mil   5049.685mil       1505mil  T        180.00 0.01uF         
C124       0402                  5105mil       1255mil       5105mil       1255mil   5085.315mil       1255mil  T        360.00 100pF          
C125       0402                  5065mil       1675mil       5065mil       1675mil   5084.685mil       1675mil  T        180.00 0.1uF          
C126       0402                  5155mil       1725mil       5155mil       1725mil   5135.315mil       1725mil  T        360.00 68pF           
C131       C0805                 5300mil        935mil       5300mil        935mil       5300mil    964.528mil  T        270.00 10uF           
C129       C0805                 5255mil       1885mil       5255mil       1885mil       5255mil   1855.473mil  T         90.00 10uF           
C130       0402                  5275mil       1175mil       5275mil       1175mil   5255.315mil       1175mil  T        360.00 100pF          
C127       0402                  5425mil       1665mil       5425mil       1665mil   5444.685mil       1665mil  T        180.00 100pF          
C128       0402                  5255mil       1775mil       5255mil       1775mil   5235.315mil       1775mil  T        360.00 0.1uF          
C132       0402                  5155mil       1775mil       5155mil       1775mil   5135.315mil       1775mil  T        360.00 Cap Semi       
C133       0402                  5255mil       1725mil       5255mil       1725mil   5235.315mil       1725mil  T        360.00 0.01uF         
C135       0402                  5345mil       1725mil       5345mil       1725mil   5364.685mil       1725mil  T        180.00 33pF           
C134       0402                  5425mil       1625mil       5425mil       1625mil   5444.685mil       1625mil  T        180.00 0.01uF         
C136       0402                  5385mil       1795mil       5385mil       1795mil       5385mil   1814.685mil  T        270.00 1nF            
C137       0402                  5335mil       1795mil       5335mil       1795mil       5335mil   1814.685mil  T        270.00 18pF           
C138       0402                  5445mil       1285mil       5445mil       1285mil       5445mil   1265.315mil  T         90.00 100pF          
C139       0402                  5525mil       1410mil       5525mil       1410mil   5544.685mil       1410mil  T        180.00 100pF          
C140       0402                  5535mil       1485mil       5535mil       1485mil   5554.685mil       1485mil  T        180.00 0.01uF         
C141       0402                  5455mil       1585mil       5455mil       1585mil   5474.685mil       1585mil  T        180.00 100pF          
C142       0402                  1045mil       2495mil       1045mil       2495mil   1064.685mil       2495mil  B        180.00 0.1uF          
C143       0402                   545mil       2650mil        545mil       2650mil        545mil   2669.685mil  B        270.00 100pF          
C144       0402                   610mil       2650mil        610mil       2650mil        610mil   2669.685mil  B        270.00 0.1uF          
C145       C0805                  695mil       2670mil        695mil       2670mil        695mil   2640.472mil  B         90.00 10uF           
